,VIX,S&P500 returns,S&P500 Negative returns (lag 1),S&P500 Negative returns (lag 5),S&P500 Negative returns (lag 22),BSESN (DR),BSESN(IDR),MOVE,MOVE (lag 1),VVIX,VVIX (lag 1),SKEW,SKEW (lag 1),SKEW 1st Diff.
VIX,1,-0.175934903,-0.421625264,-0.698216994,-0.820635956,-0.12411412,-0.073551405,0.623548923,0.605299396,0.612894064,0.579492295,-0.24187419,-0.22964003,-0.021037895
S&P500 returns,-0.175934903,1,0.828230632,0.255710478,0.072557922,0.310865458,0.263749096,0.002756887,0.04076604,-0.236790122,0.040831203,0.028694393,-0.052566152,0.13981846
S&P500 Negative returns (lag 1),-0.421625264,0.828230632,1,0.530214121,0.322970252,0.2917422,0.2317045,-0.147363194,-0.101018806,-0.409669682,-0.164695589,0.072028061,0.000754251,0.122530102
S&P500 Negative returns (lag 5),-0.698216994,0.255710478,0.530214121,1,0.631084476,0.213273792,0.149797739,-0.318830441,-0.290460772,-0.626744808,-0.585881401,0.114401037,0.087045609,0.047051871
S&P500 Negative returns (lag 22),-0.820635956,0.072557922,0.322970252,0.631084476,1,0.048917464,0.028528896,-0.454938796,-0.449351891,-0.536086366,-0.548007794,0.195355064,0.184720341,0.018368162
BSESN (DR),-0.12411412,0.310865458,0.2917422,0.213273792,0.048917464,1,0.827294671,-0.057003917,-0.032405356,-0.168356965,-0.088687481,0.017872392,0.008450768,0.016256553
BSESN(IDR),-0.073551405,0.263749096,0.2317045,0.149797739,0.028528896,0.827294671,1,-0.063116946,-0.045879039,-0.102660307,-0.042925733,0.009470917,-0.002113522,0.019973474
MOVE,0.623548923,0.002756887,-0.147363194,-0.318830441,-0.454938796,-0.057003917,-0.063116946,1,0.97336765,0.292545747,0.300453131,-0.258008045,-0.260295829,0.003632464
MOVE (lag 1),0.605299396,0.04076604,-0.101018806,-0.290460772,-0.449351891,-0.032405356,-0.045879039,0.97336765,1,0.267238441,0.290957907,-0.250723061,-0.257738655,0.01201229
VVIX,0.612894064,-0.236790122,-0.409669682,-0.626744808,-0.536086366,-0.168356965,-0.102660307,0.292545747,0.267238441,1,0.920577388,0.047931935,0.063871644,-0.027473036
VVIX (lag 1),0.579492295,0.040831203,-0.164695589,-0.585881401,-0.548007794,-0.088687481,-0.042925733,0.300453131,0.290957907,0.920577388,1,0.050781858,0.048789573,0.003431241
SKEW,-0.24187419,0.028694393,0.072028061,0.114401037,0.195355064,0.017872392,0.009470917,-0.258008045,-0.250723061,0.047931935,0.050781858,1,0.830628993,0.291157778
SKEW (lag 1),-0.22964003,-0.052566152,0.000754251,0.087045609,0.184720341,0.008450768,-0.002113522,-0.260295829,-0.257738655,0.063871644,0.048789573,0.830628993,1,-0.29085769
SKEW 1st Diff.,-0.021037895,0.13981846,0.122530102,0.047051871,0.018368162,0.016256553,0.019973474,0.003632464,0.01201229,-0.027473036,0.003431241,0.291157778,-0.29085769,1
