,DA_dr,DA_idr,mean_AE,rmse,MSE,QL
0,0.5327210103329506,0.5143513203214696,1.1354623687993448,2.289897381726849,5.213134044811583,3.1089251224970447
1,0.5419058553386912,0.5143513203214696,1.1336940690380184,2.289897381726849,5.248083432845652,3.111214756906924
2,0.563719862227325,0.5281285878300803,1.1319316487070772,2.289897381726849,4.87052403687331,2.9918339803027245
3,0.5464982778415615,0.5235361653272101,1.130488476647507,2.289897381726849,4.928589847234938,3.0549875093025447
4,0.5499425947187141,0.5350172215843858,1.1276950133620551,2.289897381726849,5.089219790963429,3.0792302142514743
5,0.5281285878300803,0.513203214695752,1.153919887979981,2.289897381726849,5.24363001883948,3.162651855926093
0,0.539609644087256,0.5120551090700345,1.1371064072079107,2.2846998835595076,5.240578936495698,3.1166109863931055
1,0.5419058553386912,0.5166475315729047,1.1390848245157479,2.2846998835595076,5.256286152367711,3.117636289350873
2,0.539609644087256,0.5223880597014925,1.1202145147296794,2.2846998835595076,4.992842662639754,2.9954194444309925
3,0.5407577497129736,0.5177956371986223,1.1247919048967223,2.2846998835595076,5.055925974335557,3.0492479999084563
4,0.5614236509758898,0.5281285878300803,1.1276230020049425,2.2846998835595076,5.110796609995975,3.0809874590066086
5,0.5464982778415615,0.521239954075775,1.1315707222613973,2.2846998835595076,5.219853557936828,3.0999105943798533
0,0.5671641791044776,0.5487944890929966,1.1079103944510438,2.2960119711489173,5.3568340164901596,3.088921575703858
1,0.5935706084959816,0.5614236509758898,1.1065571719577454,2.2960119711489173,5.484284718288474,3.104769374103002
2,0.5878300803673938,0.5614236509758898,1.1002505507794258,2.2960119711489173,5.099797636625843,2.9720873999606274
3,0.5878300803673938,0.5579793340987371,1.1041216931995208,2.2960119711489173,5.152995886186741,3.0204415092865995
4,0.574052812858783,0.5487944890929966,1.10782099194947,2.2960119711489173,5.3724894376655135,3.0930310444173927
5,0.5683122847301951,0.5487944890929966,1.1131581097686876,2.2960119711489173,5.385450625207597,3.0982030055909924
6,0.56601607347876,0.5522388059701493,1.1101337587330369,2.2960119711489173,5.3812372092546426,3.0948846716667324
7,0.5729047072330654,0.5625717566016073,1.1021599626009086,2.2960119711489173,5.271670971659137,3.0630650880850654
0,0.5694603903559128,0.5499425947187141,1.1102520828500317,2.2731522526971926,5.266158632090629,3.08074927522454
1,0.5786452353616532,0.5487944890929966,1.108712053469158,2.2731522526971926,5.3202966611307865,3.0869765801039355
2,0.582089552238806,0.5453501722158438,1.1040550050402176,2.2731522526971926,5.071883364144723,2.97929099269634
3,0.5706084959816303,0.5453501722158438,1.1074087657501062,2.2731522526971926,5.108595344712327,3.0211264388711463
4,0.5671641791044776,0.5487944890929966,1.1121073377529138,2.2731522526971926,5.297624280366696,3.0860369081019696
5,0.5694603903559128,0.5510907003444316,1.11313154725799,2.2731522526971926,5.2934001838549705,3.085800289896798
6,0.574052812858783,0.5487944890929966,1.1102224244169687,2.2731522526971926,5.309135998993856,3.0828345345248818
7,0.5694603903559128,0.5556831228473019,1.1077884352436715,2.2731522526971926,5.167221163942321,3.054867185920127
0,0.5671641791044776,0.5499425947187141,1.1121875172849767,2.3538823088519294,5.510796613428599,3.118336705299177
1,0.5809414466130884,0.5579793340987371,1.1132379208147862,2.3538823088519294,5.609043480858067,3.1294007569207842
2,0.5786452353616532,0.5533869115958668,1.1038662804474122,2.3538823088519294,5.199462321439728,2.991205620806567
3,0.5717566016073479,0.5568312284730195,1.1049158297612411,2.3538823088519294,5.285397201054888,3.0441458186227877
4,0.5752009184845006,0.5579793340987371,1.106527184798345,2.3538823088519294,5.391817792409081,3.0869797922934317
5,0.5763490241102182,0.5533869115958668,1.1124310369871384,2.3538823088519294,5.54076192392609,3.1213682150022817
0,0.5706084959816303,0.5453501722158438,1.1113275415964001,70.2358317679974,5.220894032972656,3.0794644983204584
1,0.4535017221584386,0.4133180252583238,448370734.3016153,70.2358317679974,2.552151746385331e+17,23567739459.65069
2,0.49483352468427094,0.5304247990815155,2.341772234659261,70.2358317679974,15.437103586778901,10.981059410041286
3,0.4147982062780269,0.4125560538116592,39909.375957461714,70.2358317679974,6552398012.513039,733876.5915060467
4,0.5683122847301951,0.5487944890929966,1.11030639120882,70.2358317679974,5.1524897725875745,3.0572772274320252
5,0.45897435897435895,0.46153846153846156,37.59872948487065,70.2358317679974,4933.072064142432,299.93328487402334
