,DA_dr,DA_idr,mean_AE,MSE,QL,mean_err
0,0.4827586206896552,0.5160919540229885,1.139255795817523,5.244067920072137,3.113766918363517,-0.0280722601630855
1,0.4804597701149425,0.5540229885057472,1.110003846038332,5.3851803930606845,3.0934002294537732,-0.22499564610216008
2,0.4781609195402299,0.49770114942528737,1.2492583302921576,6.033196919273711,3.581767960652168,1.5633947893052892e-05
3,0.4804597701149425,0.5528735632183908,1.11537600746171,5.537513150459525,3.1223758301563183,-0.24967959858390995
0,0.4804597701149425,0.5137931034482759,1.136942320964194,5.230192937077826,3.113684266976394,-0.04261537657450348
1,0.4804597701149425,0.5505747126436782,1.1141689650872189,5.300572900404519,3.0858190056372434,-0.180875139358482
2,0.4793103448275862,0.5057471264367817,1.1407134825723126,5.196643812407429,3.1276624098751125,-0.028952055622043595
3,0.4804597701149425,0.5413793103448276,1.1178244228132248,5.272158002005282,3.087569947169544,-0.15360821077402265
0,0.4387990762124711,0.48036951501154734,1.8775314297465557,11.975033588950373,7.939312777132325,-0.06606240415841667
1,0.4445727482678984,0.5150115473441108,1.8176487253197688,12.950130385277692,7.829141774795486,-0.5964706339675355
2,0.4399538106235566,0.5092378752886836,2.2534820747389026,16.768232849516227,10.581346179450296,0.007271535323457978
3,0.44226327944572746,0.5196304849884527,1.8533974521220518,13.955319739529164,8.026492139247178,-0.6417367677447373
0,0.44226327944572746,0.4942263279445728,1.8603687310042418,11.78723013732325,7.92922549416987,-0.11278278192234192
1,0.44341801385681295,0.5046189376443418,1.8311318013981919,11.865532161337288,7.7962707387827415,-0.25443828671558505
2,0.45614035087719296,0.43859649122807015,334929.504765815,259106495058.0853,512174.7092446871,334929.504765815
3,0.528169014084507,0.4448356807511737,25576631287.877472,9.135809700308533e+20,1360433463715.1707,25576631287.877472
0,0.4419953596287703,0.5568445475638051,2.370036859784692,20.23269181694474,12.14216360598222,-0.10070799320149945
1,0.4361948955916473,0.5730858468677494,2.5267995976090636,24.515484415272322,13.53689838973975,-0.7186123970576324
2,0.43735498839907194,0.5348027842227379,3.089790295427301,30.19764838735954,19.30340680525952,0.21236074398913732
3,0.4396751740139211,0.4976798143851508,7.464499976696817,108.98728271270814,124.1007771568124,1.6262368517394568
0,0.43387470997679817,0.5672853828306265,2.3598245027253,19.73501084304695,12.153143319363323,-0.1413818222677254
1,0.43735498839907194,0.6102088167053364,2.2391035006859235,20.64704579280024,11.671553403737052,-0.7077000629399389
2,0.43724696356275305,0.41970310391363025,4456604.2763479585,52086760288517.58,154822538.43627506,4456604.2763479585
3,,,,,0.0,
